Id,States,Rainfall,Ground Water,Temperature,Soil type,Season,Crops,Fertilisers required,Cost of cultivation,Expected revenues,Quantity of seeds per hectare,Duration of cultivation,Demand of crop,Crops for mixed cropping
325,Uttarakhand,164.5,7.5,21.5,Black,Kharif,Coffee,"Nitrogen,Ammonium Nitrate",442513,"2, 49,600",4500 seeds,240-270,Moderate,"Arecanut, Orange, Cardamom, Pepper, Oil palm"
326,Lakshadweep,30,3.8,21.5,Black,Kharif,Coffee,"Nitrogen,Ammonium Nitrate",442513,"2, 49,600",4500 seeds,240-270,Moderate,"Arecanut, Orange, Cardamom, Pepper, Oil palm"
327,Assam,156.2,1.62,25,Alluvial,Kharif,Turmeric,"Nitrogen,Potassium,Phosphorus","43, 441",80548,2500kg Rhizomes,210-270,Moderate,"Coconut, Arecanut"
328,Assam,156.2,1.62,25,Black,Kharif,Turmeric,"Nitrogen,Potassium,Phosphorus","43, 441",80548,2500kg Rhizomes,210-270,Moderate,"Coconut, Arecanut"
329,Chhatisgarh,130.4,5,25,Alluvial,Kharif,Turmeric,"Nitrogen,Potassium,Phosphorus","43, 441",80548,2500kg Rhizomes,210-270,Moderate,"Coconut, Arecanut"
330,Chhatisgarh,130.4,5,25,Black,Kharif,Turmeric,"Nitrogen,Potassium,Phosphorus","43, 441",80548,2500kg Rhizomes,210-270,Moderate,"Coconut, Arecanut"
331,Himachal Pradesh,127.5,22,25,Alluvial,Kharif,Turmeric,"Nitrogen,Potassium,Phosphorus","43, 441",80548,2500kg Rhizomes,210-270,Moderate,"Coconut, Arecanut"
332,Himachal Pradesh,127.5,22,25,Black,Kharif,Turmeric,"Nitrogen,Potassium,Phosphorus","43, 441",80548,2500kg Rhizomes,210-270,Moderate,"Coconut, Arecanut"
333,Madhya Pradesh,235.5,22,25,Alluvial,Kharif,Turmeric,"Nitrogen,Potassium,Phosphorus","43, 441",80548,2500kg Rhizomes,210-270,Moderate,"Coconut, Arecanut"
334,Madhya Pradesh,235.5,22,25.5,Black,Kharif,Turmeric,"Nitrogen,Potassium,Phosphorus","43, 441",80548,2500kg Rhizomes,210-270,Moderate,"Coconut, Arecanut"
335,Meghalaya,117.5,4,25,Alluvial,Kharif,Turmeric,"Nitrogen,Potassium,Phosphorus","43, 441",80548,2500kg Rhizomes,210-270,Moderate,"Coconut, Arecanut"
336,Meghalaya,117.5,4,25.5,Black,Kharif,Turmeric,"Nitrogen,Potassium,Phosphorus","43, 441",80548,2500kg Rhizomes,210-270,Moderate,"Coconut, Arecanut"
337,Mizoram,257,8,25,Alluvial,Kharif,Turmeric,"Nitrogen,Potassium,Phosphorus","43, 441",80548,2500kg Rhizomes,210-270,Moderate,"Coconut, Arecanut"
338,Mizoram,257,8,25.5,Black,Kharif,Turmeric,"Nitrogen,Potassium,Phosphorus","43, 441",80548,2500kg Rhizomes,210-270,Moderate,"Coconut, Arecanut"
339,Tamil Nadu,145,16.67,25,Alluvial,Kharif,Turmeric,"Nitrogen,Potassium,Phosphorus","43, 441",80548,2500kg Rhizomes,210-270,Moderate,"Coconut, Arecanut"
340,Tamil Nadu,145,16.67,25,Black,Kharif,Turmeric,"Nitrogen,Potassium,Phosphorus","43, 441",80548,2500kg Rhizomes,210-270,Moderate,"Coconut, Arecanut"
341,Delhi,90,6.7,25,Alluvial,Kharif,Turmeric,"Nitrogen,Potassium,Phosphorus","43, 441",80548,2500kg Rhizomes,210-270,Moderate,"Coconut, Arecanut"
342,Delhi,90,6.7,25,Black,Kharif,Turmeric,"Nitrogen,Potassium,Phosphorus","43, 441",80548,2500kg Rhizomes,210-270,Moderate,"Coconut, Arecanut"
343,Assam,156.2,1.62,25,Red,rabi,Cashewnut,"Manure,NPK","10,369",91548.76,625 seedlings,1030-1035,Low,"Groundnut, Horse gram, Cowpea"
344,Assam,156.2,1.62,25,Sandy,rabi,Cashewnut,"Manure,NPK","10,369",91548.76,625 seedlings,1030-1035,Low,"Groundnut, Horse gram, Cowpea"
345,Assam,156.2,1.62,25,Black,rabi,Cashewnut,"Manure,NPK","10,369",91548.76,625 seedlings,1030-1035,Low,"Groundnut, Horse gram, Cowpea"
346,Karnataka,121.4,22,25,Red,rabi,Cashewnut,"Manure,NPK","10,369",91548.76,625 seedlings,1030-1035,Low,"Groundnut, Horse gram, Cowpea"
347,Karnataka,121.4,22,25,Sandy,rabi,Cashewnut,"Manure,NPK","10,369",91548.76,625 seedlings,1030-1035,Low,"Groundnut, Horse gram, Cowpea"
348,Karnataka,121.4,22,25,Black,rabi,Cashewnut,"Manure,NPK","10,369",91548.76,625 seedlings,1030-1035,Low,"Groundnut, Horse gram, Cowpea"
349,Kerela,315.7,20,25,Red,rabi,Cashewnut,"Manure,NPK","10,369",91548.76,625 seedlings,1030-1035,Low,"Groundnut, Horse gram, Cowpea"
350,Kerela,315.7,20,25,Sandy,rabi,Cashewnut,"Manure,NPK","10,369",91548.76,625 seedlings,1030-1035,Low,"Groundnut, Horse gram, Cowpea"
351,Kerela,315.7,20,25,Black,rabi,Cashewnut,"Manure,NPK","10,369",91548.76,625 seedlings,1030-1035,Low,"Groundnut, Horse gram, Cowpea"
352,Kerela,315.7,20,25,Red,rabi,Cashewnut,"Manure,NPK","10,369",91548.76,625 seedlings,1030-1035,Low,"Groundnut, Horse gram, Cowpea"
353,Kerela,315.7,20,25,Sandy,rabi,Cashewnut,"Manure,NPK","10,369",91548.76,625 seedlings,1030-1035,Low,"Groundnut, Horse gram, Cowpea"
354,Kerela,315.7,20,25,Black,rabi,Cashewnut,"Manure,NPK","10,369",91548.76,625 seedlings,1030-1035,Low,"Groundnut, Horse gram, Cowpea"
355,Nagaland,215,18.1,25,Red,rabi,Cashewnut,"Manure,NPK","10,369",91548.76,625 seedlings,1030-1035,Low,"Groundnut, Horse gram, Cowpea"
356,Nagaland,215,18.1,25.5,Sandy,rabi,Cashewnut,"Manure,NPK","10,369",91548.76,625 seedlings,1030-1035,Low,"Groundnut, Horse gram, Cowpea"
357,Nagaland,215,18.1,25,Black,rabi,Cashewnut,"Manure,NPK","10,369",91548.76,625 seedlings,1030-1035,Low,"Groundnut, Horse gram, Cowpea"
358,Odisha,215,5,25,Red,rabi,Cashewnut,"Manure,NPK","10,369",91548.76,625 seedlings,1030-1035,Low,"Groundnut, Horse gram, Cowpea"
359,Odisha,215,5,25,Sandy,rabi,Cashewnut,"Manure,NPK","10,369",91548.76,625 seedlings,1030-1035,Low,"Groundnut, Horse gram, Cowpea"
360,Odisha,215,5,25,Black,rabi,Cashewnut,"Manure,NPK","10,369",91548.76,625 seedlings,1030-1035,Low,"Groundnut, Horse gram, Cowpea"
361,Tripura,238.5,6.7,25,Red,rabi,Cashewnut,"Manure,NPK","10,369",91548.76,625 seedlings,1030-1035,Low,"Groundnut, Horse gram, Cowpea"
362,Tripura,238.5,6.7,25,Sandy,rabi,Cashewnut,"Manure,NPK","10,369",91548.76,625 seedlings,1030-1035,Low,"Groundnut, Horse gram, Cowpea"
363,Tripura,238.5,6.7,25,Black,rabi,Cashewnut,"Manure,NPK","10,369",91548.76,625 seedlings,1030-1035,Low,"Groundnut, Horse gram, Cowpea"
364,Uttar Pradesh,134.65,6,25,Red,rabi,Cashewnut,"Manure,NPK","10,369",91548.76,625 seedlings,1030-1035,Low,"Groundnut, Horse gram, Cowpea"
365,Uttar Pradesh,134.65,6,25,Sandy,rabi,Cashewnut,"Manure,NPK","10,369",91548.76,625 seedlings,1030-1035,Low,"Groundnut, Horse gram, Cowpea"
366,Uttar Pradesh,134.65,6,25,Black,rabi,Cashewnut,"Manure,NPK","10,369",91548.76,625 seedlings,1030-1035,Low,"Groundnut, Horse gram, Cowpea"
367,Uttarakhand,164.5,7.5,25,Red,rabi,Cashewnut,"Manure,NPK","10,369",91548.76,625 seedlings,1030-1035,Low,"Groundnut, Horse gram, Cowpea"
368,Uttarakhand,164.5,7.5,25,Sandy,rabi,Cashewnut,"Manure,NPK","10,369",91548.76,625 seedlings,1030-1035,Low,"Groundnut, Horse gram, Cowpea"
369,Uttarakhand,164.5,7.5,25,Black,rabi,Cashewnut,"Manure,NPK","10,369",91548.76,625 seedlings,1030-1035,Low,"Groundnut, Horse gram, Cowpea"
370,Assam,156.2,1.62,27.5,Sandy,Kharif,Ragi,NPK,10000,50636.3761,12kg,5.0-7.0,Moderate,"Black gram, Moong, Cowpea, Sorghum"
371,Assam,156.2,1.62,27.5,Black,Kharif,Ragi,NPK,10000,50636.3761,12kg,5.0-7.0,Moderate,"Black gram, Moong, Cowpea, Sorghum"
372,Bihar,125.6,7.5,27.5,Sandy,Kharif,Ragi,NPK,10000,50636.3761,12kg,5.0-7.0,Moderate,"Black gram, Moong, Cowpea, Sorghum"
373,Bihar,125.6,7.5,27.5,Black,Kharif,Ragi,NPK,10000,50636.3761,12kg,5.0-7.0,Moderate,"Black gram, Moong, Cowpea, Sorghum"
374,Karnataka,121.4,22,27.5,Sandy,Kharif,Ragi,NPK,10000,50636.3761,12kg,5.0-7.0,Moderate,"Black gram, Moong, Cowpea, Sorghum"
375,Karnataka,121.4,22,27.5,Black,Kharif,Ragi,NPK,10000,50636.3761,12kg,5.0-7.0,Moderate,"Black gram, Moong, Cowpea, Sorghum"
376,Madhya Pradesh,235.5,22,27.5,Sandy,Kharif,Ragi,NPK,10000,50636.3761,12kg,5.0-7.0,Moderate,"Black gram, Moong, Cowpea, Sorghum"
377,Madhya Pradesh,235.5,22,28,Black,Kharif,Ragi,NPK,10000,50636.3761,12kg,5.0-7.0,Moderate,"Black gram, Moong, Cowpea, Sorghum"
378,Odisha,215,5,27.5,Sandy,Kharif,Ragi,NPK,10000,50636.3761,12kg,5.0-7.0,Moderate,"Black gram, Moong, Cowpea, Sorghum"
379,Odisha,215,5,28,Black,Kharif,Ragi,NPK,10000,50636.3761,12kg,5.0-7.0,Moderate,"Black gram, Moong, Cowpea, Sorghum"
380,Punjab,60,8.9,27.5,Sandy,Kharif,Ragi,NPK,10000,50636.3761,12kg,5.0-7.0,Moderate,"Black gram, Moong, Cowpea, Sorghum"
381,Punjab,60,8.9,28,Black,Kharif,Ragi,NPK,10000,50636.3761,12kg,5.0-7.0,Moderate,"Black gram, Moong, Cowpea, Sorghum"
382,Uttar Pradesh,134.65,6,27.5,Sandy,Kharif,Ragi,NPK,10000,50636.3761,12kg,5.0-7.0,Moderate,"Black gram, Moong, Cowpea, Sorghum"
383,Uttar Pradesh,134.65,6,27.5,Black,Kharif,Ragi,NPK,10000,50636.3761,12kg,5.0-7.0,Moderate,"Black gram, Moong, Cowpea, Sorghum"
384,Lakshadweep,30,3.8,27.5,Sandy,Kharif,Ragi,NPK,10000,50636.3761,12kg,5.0-7.0,Moderate,"Black gram, Moong, Cowpea, Sorghum"
385,Lakshadweep,30,3.8,27.5,Black,Kharif,Ragi,NPK,10000,50636.3761,12kg,5.0-7.0,Moderate,"Black gram, Moong, Cowpea, Sorghum"
386,Pudducherry,137.5,12.3,30,Sandy,Kharif,Ragi,NPK,10000,50636.3761,12kg,5.0-7.0,Moderate,"Black gram, Moong, Cowpea, Sorghum"
387,Pudducherry,137.5,12.3,30,Black,Kharif,Ragi,NPK,10000,50636.3761,12kg,5.0-7.0,Moderate,"Black gram, Moong, Cowpea, Sorghum"
388,Assam,156.2,1.62,23.5,Black,Kharif,Soyabean,"MAP,Phosphorus",21000,70632.15286,75kg,45-65,Moderate,"Soyabean, Sesame"
389,Goa,295,13,23.5,Black,Kharif,Soyabean,"MAP,Phosphorus",21000,70632.15286,75kg,45-65,Moderate,"Soyabean, Sesame"
390,Assam,156.2,1.62,30,Latterite,rabi,Black Gram,NPK,16610,50058.97238,22kg,70-85,Moderate,Wheat
391,Assam,156.2,1.62,30,Black,rabi,Black Gram,NPK,16610,50058.97238,22kg,70-85,Moderate,Wheat
392,Assam,156.2,1.62,30,Black,rabi,Black Gram,NPK,16610,50058.97238,22kg,70-85,Moderate,Wheat
393,Bihar,125.6,7.5,30,Latterite,rabi,Black Gram,NPK,16610,50058.97238,22kg,70-85,Moderate,Wheat
394,Bihar,125.6,7.5,30,Black,rabi,Black Gram,NPK,16610,50058.97238,22kg,70-85,Moderate,Wheat
395,Bihar,125.6,7.5,30,Black,rabi,Black Gram,NPK,16610,50058.97238,22kg,70-85,Moderate,Wheat
396,Haryana,47.5,15,30,Latterite,rabi,Black Gram,NPK,16610,50058.97238,22kg,70-85,Moderate,Wheat
397,Haryana,47.5,15,30.5,Black,rabi,Black Gram,NPK,16610,50058.97238,22kg,70-85,Moderate,Wheat
398,Haryana,47.5,15,30,Black,rabi,Black Gram,NPK,16610,50058.97238,22kg,70-85,Moderate,Wheat
399,Madhya Pradesh,235.5,22,30,Latterite,rabi,Black Gram,NPK,16610,50058.97238,22kg,70-85,Moderate,Wheat
400,Madhya Pradesh,235.5,22,30.5,Black,rabi,Black Gram,NPK,16610,50058.97238,22kg,70-85,Moderate,Wheat
401,Madhya Pradesh,235.5,22,30,Black,rabi,Black Gram,NPK,16610,50058.97238,22kg,70-85,Moderate,Wheat
402,Manipur,148.8,4,30,Latterite,rabi,Black Gram,NPK,16610,50058.97238,22kg,70-85,Moderate,Wheat
403,Manipur,148.8,4,30.5,Black,rabi,Black Gram,NPK,16610,50058.97238,22kg,70-85,Moderate,Wheat
404,Manipur,148.8,4,30,Black,rabi,Black Gram,NPK,16610,50058.97238,22kg,70-85,Moderate,Wheat
405,Punjab,60,8.9,30,Latterite,rabi,Black Gram,NPK,16610,50058.97238,22kg,70-85,Moderate,Wheat
406,Punjab,60,8.9,30,Black,rabi,Black Gram,NPK,16610,50058.97238,22kg,70-85,Moderate,Wheat
407,Punjab,60,8.9,30,Black,rabi,Black Gram,NPK,16610,50058.97238,22kg,70-85,Moderate,Wheat
408,Sikkim,299.5,50,30,Latterite,rabi,Black Gram,NPK,16610,50058.97238,22kg,70-85,Moderate,Wheat
409,Sikkim,299.5,50,30,Black,rabi,Black Gram,NPK,16610,50058.97238,22kg,70-85,Moderate,Wheat
410,Sikkim,299.5,50,30,Black,rabi,Black Gram,NPK,16610,50058.97238,22kg,70-85,Moderate,Wheat
411,Telangana,87.5,8,30,Latterite,rabi,Black Gram,NPK,16610,50058.97238,22kg,70-85,Moderate,Wheat
412,Telangana,87.5,8,30,Black,rabi,Black Gram,NPK,16610,50058.97238,22kg,70-85,Moderate,Wheat
413,Telangana,87.5,8,30,Black,rabi,Black Gram,NPK,16610,50058.97238,22kg,70-85,Moderate,Wheat
414,Uttar Pradesh,134.65,6,30,Latterite,rabi,Black Gram,NPK,16610,50058.97238,22kg,70-85,Moderate,Wheat
415,Uttar Pradesh,134.65,6,30,Black,rabi,Black Gram,NPK,16610,50058.97238,22kg,70-85,Moderate,Wheat
416,Andaman and Nicobar Island,277,3.5,30,Latterite,rabi,Black Gram,NPK,16610,50058.97238,22kg,70-85,Moderate,Wheat
417,Andaman and Nicobar Island,277,3.5,30,Black,rabi,Black Gram,NPK,16610,50058.97238,22kg,70-85,Moderate,Wheat
418,Andaman and Nicobar Island,277,3.5,30,Black,rabi,Black Gram,NPK,16610,50058.97238,22kg,70-85,Moderate,Wheat
419,Assam,156.2,1.62,20,Black,rabi,Khesari,Basal dose,"5,954",28000,70kg,125-130,Moderate,"Pigeon pea, Gram "
420,Bihar,125.6,7.5,20,Black,rabi,Khesari,Basal dose,"5,954",28000,70kg,125-130,Moderate,"Pigeon pea, Gram "
421,Assam,156.2,1.62,19,Alluvial,rabi,Wheat MACS 6222,"Phosphorus,Nitrogen",17714,50166.54,112kg,60-151,High,"Horse Gram, Black Gram, Mustard"
422,Bihar,125.6,7.5,19,Alluvial,rabi,Wheat MACS 6222,"Phosphorus,Nitrogen",17714,50166.54,112kg,60-151,High,"Horse Gram, Black Gram, Mustard"
423,Bihar,125.6,7.5,27.5,Alluvial,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
424,Bihar,125.6,7.5,27.5,Red,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
425,Bihar,125.6,7.5,27.5,Sandy,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
426,Bihar,125.6,7.5,27.5,Black,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
427,Chhatisgarh,130.4,5,27.5,Alluvial,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
428,Chhatisgarh,130.4,5,27.5,Red,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
429,Chhatisgarh,130.4,5,27.5,Sandy,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
430,Chhatisgarh,130.4,5,27.5,Black,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
431,Himachal Pradesh,127.5,22,27.5,Alluvial,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
432,Himachal Pradesh,127.5,22,28,Red,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
433,Himachal Pradesh,127.5,22,27.5,Sandy,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
434,Himachal Pradesh,127.5,22,28,Black,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
435,Karnataka,121.4,22,27.5,Alluvial,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
436,Karnataka,121.4,22,27.5,Red,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
437,Karnataka,121.4,22,27.5,Sandy,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
438,Karnataka,121.4,22,27.5,Black,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
439,Kerela,315.7,20,27.5,Alluvial,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
440,Kerela,315.7,20,27.5,Red,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
441,Kerela,315.7,20,27.5,Sandy,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
442,Kerela,315.7,20,27.5,Black,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
443,Meghalaya,117.5,4,27.5,Alluvial,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
444,Meghalaya,117.5,4,27.5,Red,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
445,Meghalaya,117.5,4,27.5,Sandy,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
446,Meghalaya,117.5,4,27.5,Black,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
447,Nagaland,215,18.1,27.5,Alluvial,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
448,Nagaland,215,18.1,27.5,Red,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
449,Nagaland,215,18.1,27.5,Sandy,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
450,Nagaland,215,18.1,27.5,Black,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
451,Odisha,215,5,27.5,Alluvial,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
452,Odisha,215,5,27.5,Red,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
453,Odisha,215,5,27.5,Sandy,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
454,Odisha,215,5,27.5,Black,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
455,Punjab,60,8.9,27.5,Alluvial,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
456,Punjab,60,8.9,27.5,Red,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
457,Punjab,60,8.9,27.5,Sandy,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
458,Punjab,60,8.9,27.5,Black,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
459,Tamil Nadu,145,16.67,27.5,Alluvial,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
460,Tamil Nadu,145,16.67,27.5,Red,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
461,Tamil Nadu,145,16.67,27.5,Sandy,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
462,Tamil Nadu,145,16.67,27.5,Black,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
463,Tripura,238.5,6.7,27.5,Alluvial,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
464,Tripura,238.5,6.7,27.5,Red,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
465,Tripura,238.5,6.7,27.5,Sandy,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
466,Tripura,238.5,6.7,27.5,Black,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
467,Uttar Pradesh,134.65,6,27.5,Red,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
468,Uttar Pradesh,134.65,6,27.5,Alluvial,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
469,Uttar Pradesh,134.65,6,27.5,Sandy,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
470,Uttar Pradesh,134.65,6,27.5,Black,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
471,Uttarakhand,164.5,7.5,27.5,Red,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
472,Uttarakhand,164.5,7.5,27.5,Sandy,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
473,Uttarakhand,164.5,7.5,27.5,Alluvial,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
474,Uttarakhand,164.5,7.5,27.5,Black,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
475,Delhi,90,6.7,27.5,Red,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
476,Delhi,90,6.7,27.5,Sandy,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
477,Delhi,90,6.7,27.5,Black,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
478,Delhi,90,6.7,27.5,Alluvial,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
479,Lakshadweep,30,3.8,27.5,Alluvial,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
480,Lakshadweep,30,3.8,27.5,Red,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
481,Lakshadweep,30,3.8,27.5,Sandy,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
482,Lakshadweep,30,3.8,27.5,Black,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
483,Pudducherry,137.5,12.3,27.5,Red,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
484,Pudducherry,137.5,12.3,27.5,Black,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
485,Pudducherry,137.5,12.3,27.5,Sandy,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
486,Pudducherry,137.5,12.3,27.5,Alluvial,rabi,Black Pepper,"Lime,Dolomite","4,16,024","1,65,000",4.5kg,120-150,Low,Arecanut
487,Bihar,125.6,7.5,22.5,Alluvial,Kharif,Chillies,"Compost,Nitrogen,Phosphorus",122935,"3,00,440.00",1kg,40-45,Low,"Maize, Brinjal, Garlic"
488,Karnataka,121.4,22,22.5,Alluvial,Kharif,Chillies,"Compost,Nitrogen,Phosphorus",122935,"3,00,440.00",1kg,40-45,Low,"Maize, Brinjal, Garlic"
489,Bihar,125.6,7.5,20,Black,rabi,Garlic,NPK,"27,500",400000,250kg,120-150,Low,Chillies
490,Bihar,125.6,7.5,20,Alluvial,rabi,Garlic,NPK,"27,500",400000,250kg,120-150,Low,Chillies
491,Chhatisgarh,130.4,5,20,Black,rabi,Garlic,NPK,"27,500",400000,250kg,120-150,Low,Chillies
492,Chhatisgarh,130.4,5,20,Alluvial,rabi,Garlic,NPK,"27,500",400000,250kg,120-150,Low,Chillies
493,Bihar,125.6,7.5,18.5,Alluvial,rabi,Wheat MPO(JW) 1215 (MPO 1215),"Phosphorus,Nitrogen",17714,50166.54,112kg,60-150,High,"Horse Gram, Black Gram, Mustard"
494,Chhatisgarh,130.4,5,18.5,Alluvial,rabi,Wheat MPO(JW) 1215 (MPO 1215),"Phosphorus,Nitrogen",17714,50166.54,112kg,60-150,High,"Horse Gram, Black Gram, Mustard"
495,Himachal Pradesh,127.5,22,18.5,Alluvial,rabi,Wheat MPO(JW) 1215 (MPO 1215),"Phosphorus,Nitrogen",17714,50166.54,112kg,60-150,High,"Horse Gram, Black Gram, Mustard"
496,Odisha,215,5,18.5,Alluvial,rabi,Wheat MPO(JW) 1215 (MPO 1215),"Phosphorus,Nitrogen",17714,50166.54,112kg,60-150,High,"Horse Gram, Black Gram, Mustard"
497,Jammu and Kashmir,111.5,17,18.5,Alluvial,rabi,Wheat MPO(JW) 1215 (MPO 1215),"Phosphorus,Nitrogen",17714,50166.54,112kg,60-150,High,"Horse Gram, Black Gram, Mustard"
498,Bihar,125.6,7.5,23.5,Alluvial,Kharif,Maize PMH 5 (JH 3110),Nitrogen,16000,31369.83628,20kg,95-105,Moderate,"Gram, Beans"
499,Bihar,125.6,7.5,23.5,Black,Kharif,Maize PMH 5 (JH 3110),Nitrogen,16000,31369.83628,20kg,95-105,Moderate,"Gram, Beans"
